INVENTORY;PROVINCE;PLOT;N;DG;DM;DO;HM;HO;AB;HART
3;34;108;1015,05484;16,39828;15,99843;22,25823;6,75784;8,08357;21,43758;40,19863
3;34;189;1022,12839;16,72872;16,109;24,84599;7,63737;9,14147;22,46573;35,42341
3;34;192;912,48833;22,80897;21,92093;32,03193;11,73256;12,92441;37,28451;26,51764
3;34;243;488,07516;26,73196;26,43986;33,08512;12,88406;13,98059;27,39292;33,51894
3;34;244;650,76688;24,31951;23,94647;29,91443;12,65;13,93897;30,22909;29,11493
3;34;268;498,68548;18,15109;17,80355;23,31721;8,18794;9,79264;12,90393;47,34194
3;34;270;1446,54156;17,07979;16,74108;22,40815;8,84034;9,88905;33,14255;27,52575
3;34;297;887,73089;19,54491;19,27131;25,20986;11,06574;12,13662;26,63414;28,62996
3;34;317;1170,67301;20,04981;19,12266;29,56527;10,69335;11,85368;36,96121;25,52632
3;34;320;608,32555;20,44314;20,22558;24,19668;9,26163;9,64632;19,96738;43,51405
3;34;330;1559,71841;10,47672;10,39694;13,38887;4,05102;5,27324;13,44581;49,71169
3;34;331;484,53838;24,07493;23,60073;29,54066;11,09489;11,86823;22,05709;39,62864
3;34;339;1488,98288;17,68544;17,29014;22,87441;8,78979;10,60125;36,57729;25,30797
3;34;344;1683,50558;14,72032;14,32847;20,75219;7,46744;8,50485;28,65096;29,66779
3;34;345;1188,35688;16,21008;15,77039;22,91297;8;9,21221;24,52489;32,60032
3;34;346;1096,4007;14,25188;13,83081;21,11049;6,54355;8,63177;17,49054;36,22219
3;34;359;923,09865;14,85666;14,56724;19,5962;7,41379;8,93239;16,00223;38,14762
3;34;363;983,22385;20,19753;20,03165;25,70667;11,97302;13,12692;31,50204;25,15186
3;34;364;1793,14565;16,15602;15,75464;22,94523;9,64398;10,30063;36,75988;23,73491
3;34;404;1131,76847;20,05429;19,25547;28,33225;8,8625;10,77324;35,74884;28,56499
3;34;412;792,23792;16,41975;16,06406;22,00216;7,3817;8,3939;16,77563;43,81952
3;34;413;1414,71058;15,37954;14,94913;21,54529;7,3025;8,79577;26,28114;31,29331
3;34;414;845,28957;17,87492;17,40439;24,03739;7,71339;8,85368;21,2121;40,21913
3;34;415;1160,06267;14,21401;13,77973;20,30607;6,75915;7,81831;18,40792;38,87815
3;34;417;880,65734;19,84502;19,55422;25,95937;8,83133;9,98545;27,23954;34,9372
3;34;431;512,83259;22,21731;21,83172;27,65452;9,99655;11,42926;19,88146;39,99938
3;34;432;1397,02669;14,77213;14,39671;21,69588;8,63038;10,32316;23,94313;26,83145
3;34;449;1527,88742;13,60982;13,49583;17,2231;7,03125;7,97746;22,22725;33,20082
3;34;453;679,06108;22,31592;21,77188;30,13476;12,29688;14,56103;26,56002;27,28429
3;34;467;2069,01422;13,43592;13,06077;19,94155;7,54615;8,79577;29,33513;25,87638
3;34;477;2100,8452;14,06308;13,79242;19,45732;7,89394;8,86338;32,6321;25,48372
3;34;488;1220,18787;15,47848;14,97304;22,4715;9,02435;10,8939;22,96008;27,20586
3;34;493;1351,0486;14,55762;13,92421;21,73291;7,97173;9,28779;22,48753;30,32573
3;34;496;583,56811;16,02156;15,56697;21,36711;7,69394;9,52567;11,76497;44,99019
3;34;500;1446,54156;14,29218;13,7566;21,06814;9,21149;11,88106;23,20692;22,91071
3;34;503;2037,18323;11,75714;11,54141;17,24563;6,85938;9;22,11684;25,486
3;34;504;728,57596;22,17665;21,97209;26,08031;11,57524;12,5;28,14211;30,68398
3;34;507;1078,71682;17,72397;16,87754;26,1489;7,86066;9,85853;26,61455;31,97373
3;34;509;661,3772;20,23183;19,90535;25,58351;8,62567;9,71706;21,26227;41,42855
3;34;514;1114,08458;16,06942;15,92571;19,66394;7,74286;8,02254;22,5948;38,66235
3;34;517;604,78877;16,45507;16,08158;20,98916;7,21053;8,20423;12,86154;51,31206
3;34;530;1694,11592;15,48817;14,7785;22,84272;8,88601;11,0093;31,91782;22,84693
3;34;536;424,41318;25,19148;24,72458;31,00848;11,175;12,85853;21,15369;39,0817
3;34;538;435,02351;27,3996;27,10854;31,95036;12,76016;13,14632;25,65021;37,7571
3;34;550;912,48832;17,25292;16,73973;23,30444;9,12016;10,71706;21,33254;31,97937
3;34;554;898,34122;16,55247;15,71594;23,31714;8,48819;10,57074;19,33111;32,67632
3;34;557;827,60569;18,71562;18,43013;24,55986;9,95085;11,20736;22,76783;32,11028
3;34;566;732,11272;16,41487;16,16522;20,19634;7,32609;7,63662;15,49325;50,10361
3;34;567;923,09865;14,27056;13,84655;20,12366;7,31034;7,90845;14,76454;43,08675
3;34;568;969,07674;15,36412;14,99672;20,28795;7,38504;8,29577;17,9665;40,08883
3;34;569;742,72305;16,2307;15,89929;21,89009;6,99524;8,0482;15,36708;47,20054
3;34;572;795,7747;13,37817;13,162;17,56887;5,46;5,86338;11,18597;62,5916
3;34;576;1329,82794;16,60045;16,17819;23,09401;9,21543;10,76526;28,78226;26,37163
3;34;578;374,8983;20,57085;20,35991;23,50809;7,65094;7,48717;12,45971;71,41423
3;34;582;1252,01886;19,16509;18,89929;25,06083;10,54944;10,78779;36,11789;27,12197
3;34;585;1708,26302;16,5898;16,06408;23,75153;10,03002;11,29264;36,92553;22,18127
3;34;587;1082,25359;13,5178;13,07647;19,58507;5,74412;7,18169;15,53212;43,81956
3;34;588;1400,56347;14,784;14,19205;21,00493;5,79545;7,61408;24,04233;36,33209
3;34;602;551,73713;21,00029;20,62692;27,05861;8,02179;9,34923;19,11053;47,143
3;34;604;1043,34905;18,71774;18,33203;24,60077;10,82034;11,64147;28,70954;27,53192
3;34;605;682,59785;18,16912;17,99922;22,05088;8,50777;9,34883;17,69793;42,38571
3;34;608;516,36936;18,18868;17,90719;23,093;7,54452;8,20736;13,41692;55,51054
3;34;624;424,41318;22,46748;22,26375;26,51916;10,66667;11,06588;16,82626;45,41285
3;34;628;710,89207;20,39972;20,27463;23,49897;12,86318;12,92128;23,23496;30,05051
3;34;630;1082,25359;11,06355;10,87059;14,5869;4,19118;4,81831;10,40419;65,31305
3;34;1054;449,17061;22,69704;22,05787;28,97158;9,81496;11,65117;18,17354;41,92605
3;34;1110;855,8999;19,85909;19,3595;28,38678;10,2562;11,42926;26,51132;30,96204
3;34;1167;1177,74655;14,48783;14,36486;17,88451;7,17568;8,31831;19,41548;36,26588
