Age;Height;Plot;SI;random;type
78;13;1299a;17;0.14;H0_Age
59;14;1299b;17;0.96;H0_Age
0;0;1302a;23;0.69;StemAnalysis
1;0.1;1302a;23;0.47;StemAnalysis
9;1.3;1302a;23;0.95;StemAnalysis
12;2.3;1302a;23;0.05;StemAnalysis
16;3.3;1302a;23;0.35;StemAnalysis
19;4.3;1302a;23;0.16;StemAnalysis
20;5.3;1302a;23;0.71;StemAnalysis
24;7.3;1302a;23;0.19;StemAnalysis
30;9.3;1302a;23;0.58;StemAnalysis
39;11.3;1302a;23;0.43;StemAnalysis
46;13.3;1302a;23;0.74;StemAnalysis
53;15.3;1302a;23;0.72;StemAnalysis
61;17.3;1302a;23;0.79;StemAnalysis
77;19.3;1302a;23;0.36;StemAnalysis
85;20.9;1302a;23;0.39;StemAnalysis
0;0;1302b;23;0.14;StemAnalysis
1;0.12;1302b;23;0.57;StemAnalysis
10;1.3;1302b;23;0.31;StemAnalysis
12;2.3;1302b;23;0.68;StemAnalysis
16;3.3;1302b;23;0.73;StemAnalysis
18;4.3;1302b;23;0.02;StemAnalysis
20;5.3;1302b;23;0.63;StemAnalysis
24;7.3;1302b;23;0.66;StemAnalysis
30;9.3;1302b;23;0.47;StemAnalysis
39;11.3;1302b;23;0.26;StemAnalysis
44;13.3;1302b;23;0.24;StemAnalysis
51;15.3;1302b;23;0.67;StemAnalysis
59;17.3;1302b;23;0.25;StemAnalysis
67;19.3;1302b;23;0.85;StemAnalysis
86;21.62;1302b;23;0.26;StemAnalysis
79;15;1303a;20;0.71;H0_Age
46;13;1307a;20;0.62;H0_Age
82;13;1307b;20;0.77;H0_Age
46;13.5;1311b;23;0.56;H0_Age
59;16.5;1320b;20;0.55;H0_Age
0;0;1321a;17;0.52;StemAnalysis
1;0.19;1321a;17;0.76;StemAnalysis
7;1.3;1321a;17;0.8;StemAnalysis
11;2.3;1321a;17;0.29;StemAnalysis
15;3.3;1321a;17;0.77;StemAnalysis
18;4.3;1321a;17;0.59;StemAnalysis
20;5.3;1321a;17;0.83;StemAnalysis
34;7.3;1321a;17;0.33;StemAnalysis
40;9.3;1321a;17;0.56;StemAnalysis
56;11.3;1321a;17;0.98;StemAnalysis
64;13.3;1321a;17;0.33;StemAnalysis
77;15.3;1321a;17;0.51;StemAnalysis
100;17.47;1321a;17;0.15;StemAnalysis
0;0;1321b;17;0.59;StemAnalysis
4;0.16;1321b;17;0.54;StemAnalysis
9;1.3;1321b;17;0.65;StemAnalysis
13;2.3;1321b;17;0.52;StemAnalysis
16;3.3;1321b;17;0.47;StemAnalysis
20;4.3;1321b;17;0.46;StemAnalysis
22;5.3;1321b;17;0.98;StemAnalysis
28;7.3;1321b;17;0.88;StemAnalysis
44;9.3;1321b;17;0.04;StemAnalysis
58;11.3;1321b;17;0.92;StemAnalysis
66;13.3;1321b;17;0.07;StemAnalysis
78;15.3;1321b;17;0.13;StemAnalysis
92;17.3;1321b;17;0.11;StemAnalysis
102;18.83;1321b;17;0.09;StemAnalysis
45;12;1322a;23;0.07;H0_Age
49;13;1322b;23;0.02;H0_Age
58;9;1328a;20;0.38;H0_Age
49;8.5;1328b;20;0.37;H0_Age
55;11;1331a;14;0.89;H0_Age
48;12;1331b;14;0.51;H0_Age
73;13.5;1338a;14;0.06;H0_Age
76;14;1338b;14;0.34;H0_Age
40;15;1339a;14;0.21;H0_Age
61;14;1339b;14;0.73;H0_Age
85;8.5;1395a;14;0.19;H0_Age
87;8;1395b;14;0.21;H0_Age
93;14;1405a;14;0.91;H0_Age
88;12;1405b;14;0.59;H0_Age
107;8.5;1406a;14;0.02;H0_Age
113;11;1406b;14;0.5;H0_Age
0;0;1407a;20;0.04;StemAnalysis
7;0.18;1407a;20;0.5;StemAnalysis
16;1.3;1407a;20;0.65;StemAnalysis
18;2.3;1407a;20;0.6;StemAnalysis
21;3.3;1407a;20;0.02;StemAnalysis
26;4.3;1407a;20;0.73;StemAnalysis
28;5.3;1407a;20;0.5;StemAnalysis
42;7.3;1407a;20;0.4;StemAnalysis
49;9.3;1407a;20;0.05;StemAnalysis
58;11.3;1407a;20;0.18;StemAnalysis
66;13.3;1407a;20;0.11;StemAnalysis
76;15.3;1407a;20;0.74;StemAnalysis
92;17.78;1407a;20;0.77;StemAnalysis
