Plot;SLOPE;ALTITUDE;LATITUDE;LONGITUDE;N;QMD;H0;G;SI;SI3;AGE;CLAY;SILTUS;SILTIS;SANDUS;SANDIS;pH;CCC;Ca;K;Mg;TEMP;RAINFALL;Martonne;Lang
6;15;801;41,89;-5,01;1018,59;12,73;6,02;12,96;7,34;8;57;7,37;81,6;72,7;11,03;19,93;8,67;15,4;35,15868494;0,553113294;1,979087817;12;430;19,5;35,8
7;27;816;41,89;-5,01;834,68;13,62;9,07;12,17;11,05;11;57;35,77;50,95;39,37;13,28;24,86;8,49;21,6;42,88799388;0,529194127;3,15308516;12;432;19,6;36
8;28;836;41,87;-4,96;1255,56;14,05;6,91;19,47;8,52;8;56;25,94;41,7;30,76;32,36;43,31;8,25;16;39,07535312;0,533856235;1,626674078;12;435;19,8;36,3
9;15;810;41,85;-5,01;661,38;16,65;7,67;14,41;9,35;8;57;30,32;42,4;34,17;27,28;35,5;8,44;19,9;40,92577037;0,550515454;2,281219637;12;439;20;36,6
25;30;804;41,83;-5,02;1248,48;15,7;8;24,19;9,75;11;57;27,52;35,17;27,01;37,31;45,47;8,48;17,1;37,95289025;0,563240037;1,615827913;12;443;20,1;36,9
43;33;827;41,78;-5,15;304,16;22,22;10,9;11,79;14,23;14;51;26,43;48,04;36,86;25,53;36,71;8,35;22,7;41,25622613;0,688907382;0,876526218;11;444;21,1;40,4
107;20;803;41,69;-5,14;636,62;14,61;7,64;10,68;9,51;11;55;28,74;50,61;41,97;20,64;29,29;8,48;14,7;37,16843993;0,4589199;1,655611091;11;449;21,4;40,8
144;54;844;41,75;-4,59;1559,72;10,93;6,8;14,65;8,29;8;57;13,18;54,29;38;32,53;48,82;8,3;24;43,82279963;0,860575598;2,779425195;12;462;21;38,5
156;35;835;41,69;-4,6;1711,8;13,52;7,81;24,57;9,73;11;55;6,17;73,58;51,72;20,25;42,11;8,6;18,3;39,02984226;1,017423435;1,615649232;11;470;22,4;42,7
202;24;811;41,58;-5,04;1114,08;12,33;5,55;13,31;6,76;8;57;8,64;77,24;62,58;14,12;28,78;8,35;22,3;39,99381768;0,99675678;1,924302198;12;447;20,3;37,3
223;33;820;41,65;-4,81;456,24;19,44;9,6;13,55;11,83;11;56;27,74;62,75;53,32;9,52;18,94;8,6;20,8;38,53019371;0,70390518;3,90948162;12;446;20,3;37,2
228;12;775;41,63;-4,84;933,71;16,16;10,58;19,16;12,9;14;57;4,5;88,63;76,2;6,87;19,3;8,45;17;36,73138281;0,995909228;3,159796192;12;460;20,9;38,3
233;39;791;41,61;-4,56;385,51;18,9;8,21;10,82;10,01;11;57;13,29;77,39;68,53;9,32;18,18;8,25;23,3;40,02706211;1,011986266;7,576325408;11;424;20,2;38,5
375;30;779;41,66;-4,48;565,88;16,06;8,5;11,47;10,58;11;55;10;60,22;45,36;29,78;44,64;8,3;22,5;39,19023866;0,586534516;3,935859121;11;461;22;41,9
376;35;801;41,65;-4,27;293,55;26,25;11,76;15,88;14,49;14;56;16,51;52,34;41,67;31,15;41,82;8,4;17;35,90644065;0,491896372;4,706689882;12;499;22,7;41,6
496;35;801;41,58;-4,06;1591,55;15,38;9,05;29,57;11,03;11;57;20,57;29,71;22,09;49,72;57,34;8,55;16,6;33,44712186;0,557255528;7,007395855;12;548;24,9;45,7
662;40;856;42,05;-4,54;1428,86;11,87;6,09;15,8;7,86;8;52;22,28;58,8;48,57;18,92;29,15;8,45;19,9;37,49048394;0,781769255;2,442432823;11;405;19,3;36,8
664;23;861;42,16;-4,36;1414,71;13,64;7,35;20,66;9,59;11;51;30,59;41,3;29,57;28,11;39,84;8,18;20,8;39,87023639;0,460034703;0,952503836;11;463;22;42,1
712;38;788;41,41;-4,59;806,39;15,91;10,38;16,04;12,79;14;56;28,77;54,82;42,61;16,41;28,63;8,4;24;42,74792035;0,797891832;6,099316846;12;445;20,2;37,1
717;0;854;41,89;-4,74;466,85;21,79;9,93;17,4;14,1;14;45;30,12;13,27;6,38;56,61;63,5;8;19,9;17,14645401;0,615346259;0,695833366;12;439;20;36,6
718;0;856;41,89;-4,72;378,44;18,55;9,57;10,23;13,59;14;45;30,49;18,04;10,42;51,47;59,09;7,96;18,8;12,6505595;0,54510858;0,585570945;12;440;20;36,7
723;0;855;41,88;-4,77;756,87;17,06;7,99;17,29;11,34;11;45;22,86;16;12,19;61,15;64,95;8,1;18,7;34,33533993;0,707875172;0,553743359;12;438;19,9;36,5
771;31;825;41,83;-4,37;1400,56;10,82;5,91;12,87;8,26;8;46;23,64;61,62;51,79;14,75;24,57;8,85;21,2;40,65815334;0,582432342;3,81266008;12;470;21,4;39,2
786;21;915;41,83;-4,16;587,1;18,15;9,63;15,19;13,27;14;47;13,55;63,21;47,28;23,24;39,18;8,3;32,3;48,76747363;1,44788572;2,029894546;11;493;23,5;44,8
864;17;781;41,31;-4,67;597,72;18,54;9,19;16,14;10,78;11;61;43,17;47,78;37,47;9,05;19,37;8,65;20,3;41,0752824;1,219656607;5,958640881;12;438;19,9;36,5
1237;55;860;41,9;-4,33;517,93;17,87;8,84;12,98;11,4;11;52;21,98;64,65;51,3;13,37;26,72;8,35;25,8;42,75936248;0,953974398;6,283262088;12;472;21,5;39,3
1245;11;829;41,79;-4,42;512,83;17,74;8,14;12,68;11,05;11;48;17,8;54,52;33,61;27,69;48,59;8,52;38,4;57,29843241;0,99762939;2,864786236;12;469;21,3;39,1
2057;20;779;41,8;-4,72;413,8;20,98;12,01;14,3;14,96;14;55;26,99;71,72;65,55;1,29;7,46;8,7;15,5;36,93356344;0,811427708;2,299588642;12;450;20,5;37,5
2063;5;776;41,76;-4,73;1096,4;10,26;7,43;9,07;9,26;8;55;43,14;44,97;38,21;11,89;18,65;8,7;20,5;39,91872122;0,695626404;3,964556817;12;443;20,1;36,9
2070;40;846;41,74;-4,55;774,55;14,54;9,12;12,86;11,12;11;57;23,55;44,25;32,08;32,21;44,37;8,3;23,5;41,90184532;0,976775473;3,765854422;12;465;21,1;38,8
2108;25;769;41,7;-4,47;452,71;16,85;8,8;10,1;10,96;11;55;11,12;72,94;62,6;15,94;26,28;8,32;21,9;39,01931095;0,997910142;4,599740351;12;465;21,1;38,8
2136;25;881;41,74;-4,17;1326,29;17,53;11,6;32,01;14,29;14;56;25,2;48,33;38,05;26,47;36,76;8,34;20,4;38,25294136;0,651612861;3,994947133;11;512;24,4;46,5
