"";"DBH";"HT";"SP";"age";"education";"forestry";"gender";"harvest"
"1";8,65;5,8;"Quercus pyrenaica";67;0;0;0;0
"2";9,45;6,5;"Pinus sylvestris";67;0;0;0;0
"3";8,75;8,1;"Quercus pyrenaica";67;0;0;0;0
"4";18,1;15,4;"Pinus sylvestris";67;0;0;0;0
"5";13,6;6,6;"Pinus sylvestris";67;0;0;0;1
"6";30,9;19,7;"Pinus nigra";67;0;0;0;0
"7";45,8;16,4;"Pinus sylvestris";67;0;0;0;1
"8";11,3;8,4;"Quercus pyrenaica";67;0;0;0;0
"9";10,7;7,5;"Quercus pyrenaica";67;0;0;0;0
"10";10;5,2;"Quercus pyrenaica";67;0;0;0;1
"11";11,3;7,7;"Quercus pyrenaica";67;0;0;0;0
"12";12,5;8;"Quercus pyrenaica";67;0;0;0;0
"13";9,8;6,3;"Quercus pyrenaica";67;0;0;0;0
"14";10;5,7;"Quercus pyrenaica";67;0;0;0;0
"15";24,7;11,6;"Pinus nigra";67;0;0;0;1
"16";11,8;9,5;"Quercus pyrenaica";67;0;0;0;0
"17";9,3;8,1;"Quercus pyrenaica";67;0;0;0;0
"18";14,5;10;"Quercus pyrenaica";67;0;0;0;0
"19";8,9;8,1;"Quercus pyrenaica";67;0;0;0;0
"20";9,8;9,9;"Quercus pyrenaica";67;0;0;0;0
"21";10,5;9,5;"Quercus pyrenaica";67;0;0;0;0
"22";8,9;8,2;"Quercus pyrenaica";67;0;0;0;0
"23";11,4;8;"Quercus pyrenaica";67;0;0;0;0
"24";10,2;9,8;"Quercus pyrenaica";67;0;0;0;0
"25";9;7,3;"Quercus pyrenaica";67;0;0;0;0
"26";8,2;7,1;"Quercus pyrenaica";67;0;0;0;0
"27";6,7;6,1;"Pinus sylvestris";67;0;0;0;0
"28";17,4;12,1;"Quercus pyrenaica";67;0;0;0;0
"29";15;11,7;"Quercus pyrenaica";67;0;0;0;0
"30";13,4;7,2;"Pinus sylvestris";67;0;0;0;0
"31";9,9;9,4;"Quercus pyrenaica";67;0;0;0;0
"32";8,8;7,3;"Quercus pyrenaica";67;0;0;0;0
"33";16,9;8,3;"Quercus pyrenaica";67;0;0;0;0
"34";8;5;"Pinus sylvestris";67;0;0;0;1
"35";6,8;7,5;"Quercus pyrenaica";67;0;0;0;0
"36";7,4;6,3;"Quercus pyrenaica";67;0;0;0;0
"37";9,7;8,8;"Quercus pyrenaica";67;0;0;0;0
"38";11,5;9,9;"Quercus pyrenaica";67;0;0;0;0
"39";10,6;9,2;"Quercus pyrenaica";67;0;0;0;0
"40";11,1;8,1;"Quercus pyrenaica";67;0;0;0;0
"41";8,8;8,8;"Quercus pyrenaica";67;0;0;0;0
"42";10,3;9,3;"Quercus pyrenaica";67;0;0;0;0
"43";11,8;12,3;"Pinus sylvestris";67;0;0;0;1
"44";10,2;7,7;"Quercus pyrenaica";67;0;0;0;0
"45";8,9;5,9;"Quercus pyrenaica";67;0;0;0;0
"46";8,6;5,9;"Quercus pyrenaica";67;0;0;0;1
"47";19,5;12,6;"Quercus pyrenaica";67;0;0;0;0
"48";30;17,2;"Pinus nigra";67;0;0;0;0
"49";10;14,3;"Pinus sylvestris";67;0;0;0;0
"50";10,2;8,3;"Quercus pyrenaica";67;0;0;0;0
"51";9;7,4;"Quercus pyrenaica";67;0;0;0;0
"52";8,5;5,8;"Quercus pyrenaica";67;0;0;0;1
"53";24,7;13,4;"Quercus pyrenaica";67;0;0;0;0
"54";13,7;10,6;"Quercus pyrenaica";67;0;0;0;0
"55";10,4;7,4;"Quercus pyrenaica";67;0;0;0;0
"56";7,9;8,4;"Quercus pyrenaica";67;0;0;0;0
"57";16;11,5;"Quercus pyrenaica";67;0;0;0;0
"58";7,9;6,7;"Quercus pyrenaica";67;0;0;0;1
"59";9,6;6,1;"Pinus sylvestris";67;0;0;0;0
"60";11,2;7,1;"Quercus pyrenaica";67;0;0;0;0
"61";17,3;7,5;"Quercus pyrenaica";67;0;0;0;0
"62";9,5;6,6;"Quercus pyrenaica";67;0;0;0;0
"63";36,1;14,6;"Pinus nigra";67;0;0;0;0
"64";34,9;18,1;"Pinus sylvestris";67;0;0;0;0
"65";38,5;21,7;"Pinus nigra";67;0;0;0;0
"66";40,1;21,4;"Pinus nigra";67;0;0;0;0
"67";8,4;7,5;"Quercus pyrenaica";67;0;0;0;1
"68";8,7;7,5;"Quercus pyrenaica";67;0;0;0;0
"69";9,5;11,1;"Pinus sylvestris";67;0;0;0;1
"70";35,3;20,4;"Pinus nigra";67;0;0;0;0
"71";35,7;21,2;"Pinus nigra";67;0;0;0;0
"72";38,9;17,9;"Pinus sylvestris";67;0;0;0;1
"73";12,7;9;"Quercus pyrenaica";67;0;0;0;0
"74";22,8;7,3;"Pinus sylvestris";67;0;0;0;1
"75";12;3,8;"Quercus pyrenaica";67;0;0;0;0
"76";14,7;9,5;"Quercus pyrenaica";67;0;0;0;0
"77";22,7;19,1;"Pinus sylvestris";67;0;0;0;0
"78";36,7;19,3;"Pinus nigra";67;0;0;0;0
"79";11,5;6,1;"Quercus pyrenaica";67;0;0;0;0
"80";33,5;17,5;"Pinus nigra";67;0;0;0;0
"81";21,4;8,8;"Quercus pyrenaica";67;0;0;0;0
"82";11,9;7,7;"Quercus pyrenaica";67;0;0;0;0
"83";13,8;7,9;"Quercus pyrenaica";67;0;0;0;0
"84";9,7;6,8;"Quercus pyrenaica";67;0;0;0;0
